ID,text,created_at,retweets (rt),favorites (fav),sum (rt+fav),norm rt,norm fav,score (norm sum),media,mention,hashtag,length,class4 (split 4),class2 (split 2),pred score,pred norm rt,pred norm fav,,pred sum1 (denormalised pred score),pred class4,correct class?,,,pred class2,correct class?,,pred rt,pred fav,pred sum2 (pred rt + pred fav),pred class4,correct class?,,pred class2,correct class?,,sum err sq,rt err sq,fav err sq,,,mse sum,mse rt,mse fav,,,
1,happy new year to all including to my many enemies and those who have fought me and lost so badly they just don't know what to do. love!,31/12/2016 13:17,141853,350860,492713,0.840535656,0.897636202,1,0,0,0,136,VP,P,2.64E-01,1.67E-01,2.61E-01,,130786.2679,VP,1,,,P,1,,28401.168,102297.491,130698.659,VP,1,,P,1,,5.42E-01,4.54E-01,4.05E-01,,,0.010656618,0.004168771,0.011070058,,,
2,peaceful protests are a hallmark of our democracy. even if i don't always agree i recognize the rights of people to express their views.,22/01/2017 14:23,81527,390826,472353,0.483080023,1,0.958620241,0,0,0,136,VP,P,1.22E-01,4.35E-02,1.34E-01,,60853.49862,P,0,,,P,1,,7590.924,52712.754,60303.678,P,0,,P,1,,7.00E-01,1.93E-01,7.50E-01,,,,,,,,
3,how long did it take your staff of 823 people to think that up--and where are your 33000 emails that you deleted?,09/06/2016 20:40,168765,297281,466046,1,0.760405808,0.945801865,1,0,0,113,VP,P,4.72E-02,2.04E-02,3.44E-02,,23908.35222,U,0,,,U,0,,3698.4816,13825.8264,17524.308,U,0,,U,0,,8.07E-01,9.60E-01,5.27E-01,,,,,,,,
4,my warmest condolences and sympathies to the victims and families of the terrible las vegas shooting. god bless you!,02/10/2017 11:11,75476,317744,393220,0.447225432,0.812817117,0.797789963,0,0,0,116,VP,P,1.06E-01,7.63E-02,8.89E-02,,52823.16659,P,0,,,P,1,,13117.8552,35104.3159,48222.1711,P,0,,P,1,,4.79E-01,1.38E-01,5.24E-01,,,,,,,,
5,the media is spending more time doing a forensic analysis of melania's speech than the fbi spent on hillary's emails.,20/07/2016 15:36,120661,249249,369910,0.714964596,0.63738279,0.750414611,0,0,0,117,VP,P,1.56E-01,7.74E-02,1.60E-01,,77388.80066,P,0,,,P,1,,13303.2096,62863.96,76167.1696,P,0,,P,1,,3.53E-01,4.06E-01,2.28E-01,,,ACCURACY 1 (denormalising score for 4 classes),,,,,sum correct classes
6,thank you for another wonderful evening in washington d.c. together we will make america great again????,21/01/2017 04:56,52468,289942,342410,0.310893846,0.741608633,0.694523482,1,0,0,104,VP,P,2.94E-01,2.26E-01,2.88E-01,,145455.4611,VP,1,,,P,1,,38342.904,112839.128,151182.032,VP,1,,P,1,,1.60E-01,7.21E-03,2.06E-01,,,0.324857143,,,,,2274
7,what an amazing comeback and win by the patriots. tom brady bob kraft and coach b are total winners. wow!,06/02/2017 03:36,72934,267584,340518,0.432163067,0.684343712,0.690678173,0,0,0,105,VP,P,1.23E-01,6.27E-02,1.13E-01,,61161.10747,P,0,,,P,1,,10826.2008,44513.703,55339.9038,P,0,,P,1,,3.22E-01,1.37E-01,3.26E-01,,,ACCURACY 2 (denormalising score for 2 classes),,,,,sum correct classes
8,it all begins today! i will see you at 11:00 a.m. for the swearing-in. the movement continues - the work begins!,20/01/2017 12:31,70523,268372,338895,0.417876929,0.686361995,0.68737958,0,0,0,112,VP,P,1.41E-01,8.31E-02,1.39E-01,,69932.84828,P,0,,,P,1,,14263.6824,54664.909,68928.5914,P,0,,P,1,,2.99E-01,1.12E-01,3.00E-01,,,0.612142857,,,,,4285
9,whatever the united states can do to help out in london and the u. k. we will be there - we are with you. god bless!,03/06/2017 23:24,65851,266026,331877,0.390193464,0.680353251,0.673116164,0,0,0,116,VP,P,9.47E-02,5.52E-02,9.34E-02,,47275.3855,P,0,,,P,1,,9562.4208,36861.2554,46423.6762,P,0,,P,1,,3.35E-01,1.12E-01,3.45E-01,,,ACCURACY 3 (SUM of denormalised rt and fav for 4 classes),,,,,sum correct classes
10,we must stop being politically correct and get down to the business of security for our people. if we don't get smart it will only get worse,04/06/2017 11:19,76260,246690,322950,0.451870945,0.630828495,0.654972888,0,0,0,140,VP,P,1.25E-01,7.70E-02,1.26E-01,,62083.26317,P,0,,,P,1,,13235.808,49589.306,62825.114,P,0,,P,1,,2.81E-01,1.41E-01,2.55E-01,,,0.337571429,,,,,2363
